Date,AMZN,BTC,NFLX
2013-05-01,248.229996,106.25,30.415714
2013-05-02,252.550003,98.099998,30.641428
2013-05-03,258.049988,112.900002,30.492857
2013-05-06,255.720001,109.599998,30.098572
2013-05-07,257.730011,113.199997,29.464285
2013-05-08,258.679993,112.800003,29.801428
2013-05-09,260.160004,117.699997,30.915714
2013-05-10,263.630005,115.639999,31.098572
2013-05-13,264.51001,111.400002,32.76857
2013-05-14,268.329987,114.220001,33.424286
2013-05-15,266.559998,118.209999,34.771427
2013-05-16,264.119995,123.5,33.861427
2013-05-17,269.899994,123.209999,34.142857
2013-05-20,267.630005,122.889999,34.221428
2013-05-21,268.859985,123.800003,33.869999
2013-05-22,262.959991,126.300003,32.651428
2013-05-23,261.799988,133.100006,32.311428
2013-05-24,261.73999,131.990005,32.677143
2013-05-28,267.290009,132.25,30.598572
2013-05-29,265.529999,128.800003,30.762857
2013-05-30,266.829987,128.820007,31.808571
2013-05-31,269.200012,129.300003,32.32143
2013-06-03,266.880005,121.400002,31.709999
2013-06-04,265.700012,121.900002,32.187141
2013-06-05,267.170013,118.970001,31.922857
2013-06-06,267.829987,111,31.105715
2013-06-07,276.869995,107.889999,31.459999
2013-06-10,281.070007,109,31.561428
2013-06-11,274.779999,108.779999,30.637142
2013-06-12,271.670013,103.949997,29.662857
2013-06-13,275.790009,100,30.77
2013-06-14,273.98999,99.800003,30.57
2013-06-17,278.059998,107.349998,32.747143
2013-06-18,281.76001,108.25,32.689999
2013-06-19,278.160004,111.290001,33.187141
2013-06-20,273.440002,109.5,31.931429
2013-06-21,273.359985,108.199997,30.985714
2013-06-24,270.609985,103.330002,30.799999
2013-06-25,272.089996,104,30.414286
2013-06-26,277.570007,101.739998,30.299999
2013-06-27,277.549988,94.660004,30.709999
2013-06-28,277.690002,95,30.155714
2013-07-01,282.100006,90.410004,32.040001
2013-07-02,283.730011,78.889999,31.637142
2013-07-03,284.029999,80.040001,31.558571
2013-07-05,285.880005,69.660004,32.157143
2013-07-08,290.589996,76.699997,33.299999
2013-07-09,291.529999,88,35.34
2013-07-10,292.329987,88.980003,34.831429
2013-07-11,299.660004,93.989998,34.881428
2013-07-12,307.549988,98.32,36.751427
2013-07-15,306.570007,97.099998,36.854286
2013-07-16,306.869995,98.5,37.21143
2013-07-17,308.690002,90.07,38.274284
2013-07-18,304.109985,92,38.058571
2013-07-19,305.230011,89.82,37.797142
2013-07-22,303.480011,95.559998,37.422855
2013-07-23,301.059998,95.089996,35.751427
2013-07-24,298.940002,96.949997,34.471428
2013-07-25,303.399994,96.019997,35.248573
2013-07-26,312.01001,94.400002,35.187141
2013-07-29,306.100006,107.959999,34.994286
2013-07-30,302.410004,106.209999,34.822857
2013-07-31,301.220001,104,34.925713
2013-08-01,305.570007,104.5,35.58857
2013-08-02,304.209991,104.949997,35.168571
2013-08-05,300.98999,106.559998,36.262856
2013-08-06,300.75,105.989998,36.557144
2013-08-07,296.910004,103.050003,35.601429
2013-08-08,295.73999,102.800003,35.771427
2013-08-09,297.26001,103,36.107143
2013-08-12,296.690002,109.599998,36.657143
2013-08-13,293.970001,112.559998,37.027142
2013-08-14,291.339996,109.989998,37.401428
2013-08-15,286.470001,108.989998,36.201427
